Designator,Mid X,Mid Y,Rotation,Layer
AE1,252.475,-68.26,90.0,bottom
C1,234.98,-54.76,270.0,top
C3,212.11,-56.73,270.0,top
C4,219.83,-45.69,0.0,top
C5,235.85,-50.85,90.0,top
H1,204.331,-37.492,0.0,top
H2,244.209,-37.492,0.0,top
H3,204.331,-77.37,0.0,top
H4,244.209,-77.37,0.0,top
J1,224.27,-74.83,0.0,top
J2,206.109,-55.526,270.0,top
J3,224.2775,-39.27,180.0,top
J4,242.44,-54.2875,90.0,top
MOD1,224.08,-56.41,0.0,top
