Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Tape Antenna,1,Antenna,
C1,0402,1,100nF,
"C3, C4, C5",1210,3,22uF,
J1,HARWIN_M55-7102642R,1,M55-7102642R,
"J2, J3, J4",HARWIN_M55-7101242R,3,M55-7101242R,
MOD1,XCVR_RFM98W-433S2,1,RFM98W-433S2,
